aX,aY,aZ,gX,gY,gZ
-0.403,0.677,-0.623,-6.348,14.832,5.066
-0.474,0.591,-0.528,-5.981,-9.277,-20.630
-0.623,0.510,-0.443,-3.906,-27.710,-38.696
-0.726,0.437,-0.412,2.869,-36.072,-40.344
-0.739,0.437,-0.433,6.958,-27.954,-26.428
-0.651,0.499,-0.499,6.042,-7.568,-3.906
-0.493,0.613,-0.592,1.892,14.343,18.005
-0.331,0.759,-0.700,-3.235,29.602,32.654
-0.187,0.852,-0.788,-8.301,35.522,37.170
-0.104,0.964,-0.861,-12.634,33.142,30.273
-0.052,1.028,-0.915,-16.602,25.146,14.709
-0.056,1.035,-0.922,-21.790,13.611,-3.540
-0.124,0.995,-0.862,-27.527,-0.793,-23.132
-0.225,0.943,-0.751,-31.677,-17.273,-41.016
-0.319,0.869,-0.641,-30.151,-33.386,-52.490
-0.391,0.801,-0.565,-24.902,-41.931,-56.824
-0.437,0.787,-0.525,-21.179,-37.720,-52.856
-0.429,0.823,-0.529,-20.630,-23.865,-42.480
-0.392,0.896,-0.580,-21.606,-8.057,-30.396
-0.331,0.973,-0.674,-22.644,3.784,-21.179
-0.261,1.011,-0.768,-24.414,7.935,-18.066
-0.215,1.022,-0.813,-28.870,4.700,-22.217
-0.193,1.020,-0.799,-35.339,-0.671,-28.931
-0.199,1.035,-0.751,-43.274,-2.441,-33.081
-0.221,1.061,-0.705,-49.377,1.404,-34.058
-0.243,1.091,-0.672,-52.185,6.592,-32.288
-0.275,1.141,-0.648,-53.650,8.179,-29.541
-0.273,1.165,-0.621,-53.406,4.456,-26.184
-0.256,1.210,-0.605,-52.368,-2.258,-24.292
-0.186,1.288,-0.642,-55.603,-7.935,-25.940
-0.195,1.326,-0.697,-66.223,-6.531,-37.476
-0.275,1.378,-0.705,-81.299,-1.282,-55.115
-0.372,1.476,-0.624,-95.520,-1.648,-63.904
-0.450,1.541,-0.528,-105.042,-6.104,-61.096
-0.500,1.562,-0.434,-109.924,-8.911,-54.382
-0.531,1.543,-0.349,-110.413,-11.169,-47.058
-0.548,1.516,-0.288,-106.018,-17.456,-38.452
-0.554,1.565,-0.252,-98.328,-25.818,-29.358
-0.534,1.695,-0.270,-91.919,-31.372,-20.935
-0.531,1.809,-0.313,-88.684,-32.288,-18.188
-0.467,1.847,-0.428,-83.862,-35.339,-22.644
-0.428,1.866,-0.512,-87.891,-45.349,-35.950
-0.441,1.758,-0.552,-93.018,-63.293,-57.800
-0.489,1.471,-0.518,-92.163,-87.708,-81.238
-0.589,1.233,-0.408,-91.248,-111.877,-98.450
-0.635,0.949,-0.299,-89.233,-123.840,-99.670
-0.613,0.628,-0.248,-86.731,-117.004,-85.205
-0.511,0.450,-0.274,-93.140,-99.182,-57.739
-0.329,0.240,-0.346,-102.722,-77.209,-23.193
-0.079,0.083,-0.453,-113.159,-58.594,7.996
0.223,-0.043,-0.539,-126.709,-47.180,31.616
0.511,-0.183,-0.600,-142.883,-37.842,43.274
0.786,-0.383,-0.659,-152.893,-30.090,37.109
1.064,-0.685,-0.747,-149.109,-26.245,16.357
1.309,-1.091,-0.920,-132.324,-24.963,-16.479
1.458,-1.644,-1.172,-104.736,-29.297,-69.763
1.312,-2.289,-1.424,-69.702,-44.189,-151.428
0.725,-2.866,-1.493,-31.799,-75.439,-249.573

0.263,0.066,-0.984,5.249,3.723,1.038
0.275,0.052,-0.989,6.409,4.639,0.916
0.287,0.032,-0.990,7.751,5.432,0.427
0.293,0.011,-0.989,8.606,5.920,-0.244
0.298,-0.014,-0.987,10.071,6.592,-1.343
0.304,-0.047,-0.993,12.085,7.263,-2.869
0.309,-0.085,-1.000,15.381,7.812,-4.333
0.318,-0.128,-1.014,18.982,8.057,-5.371
0.328,-0.177,-1.033,22.644,8.423,-6.470
0.343,-0.225,-1.049,25.330,9.155,-6.165
0.369,-0.266,-1.060,26.855,11.841,-4.700
0.392,-0.301,-1.069,27.344,16.174,-3.296
0.412,-0.328,-1.068,28.931,20.142,-1.465
0.433,-0.342,-1.060,31.006,23.743,-0.183
0.455,-0.355,-1.064,34.180,28.442,0.549
0.473,-0.365,-1.083,38.696,33.386,0.244
0.484,-0.370,-1.115,43.762,37.231,-1.465
0.482,-0.388,-1.148,48.462,39.551,-3.784
0.464,-0.417,-1.160,52.673,39.795,-5.859
0.445,-0.464,-1.164,55.115,39.307,-7.080
0.421,-0.515,-1.157,56.824,40.039,-7.385
0.401,-0.576,-1.146,59.448,41.016,-7.568
0.365,-0.636,-1.138,64.453,41.382,-6.897
0.323,-0.669,-1.135,70.740,40.100,-4.883
0.284,-0.718,-1.121,76.904,39.124,-1.953
0.229,-0.751,-1.090,80.994,38.635,2.014
0.176,-0.784,-1.027,84.167,36.560,7.568
0.140,-0.786,-0.962,88.318,32.349,13.123
0.057,-0.810,-0.888,93.628,27.649,20.630
0.005,-0.791,-0.804,98.145,23.193,21.973
-0.060,-0.761,-0.726,101.624,17.761,21.851
-0.131,-0.721,-0.666,101.807,10.254,19.653
-0.277,-0.609,-0.570,95.032,1.404,15.564
-0.467,-0.426,-0.359,85.510,-7.935,13.733
-0.690,-0.171,-0.077,79.895,-15.991,17.883
-0.934,0.109,0.283,80.627,-20.142,33.386
-1.152,0.487,0.669,92.102,-19.165,59.509
-1.322,0.827,1.040,114.807,-14.160,93.445
-1.423,1.304,1.232,136.292,-7.141,126.831
-1.536,1.863,1.281,147.400,4.944,157.593
-1.586,2.373,1.248,156.555,18.066,187.500
-1.631,2.840,1.094,170.410,27.039,218.872
-1.558,3.191,0.681,191.956,38.818,253.662
-1.334,3.438,-0.009,210.022,59.692,290.833
-0.736,3.564,-0.911,214.600,87.158,314.636
0.127,3.401,-1.691,202.637,86.121,306.335
0.986,3.048,-2.042,177.795,33.569,259.949
1.542,2.750,-1.920,133.911,-29.846,185.669
1.684,2.526,-1.653,73.853,-42.542,108.582
1.473,2.292,-1.442,13.000,-7.080,33.020
0.970,2.032,-1.351,-31.067,29.114,-32.349
0.408,1.523,-1.247,-48.340,28.198,-87.830
-0.189,1.115,-0.981,-54.382,-4.944,-126.648
-0.804,0.760,-0.688,-57.922,-31.555,-142.395
-1.202,0.409,-0.532,-52.734,-35.339,-134.705
-1.252,0.156,-0.409,-45.349,-26.489,-97.290
-1.110,0.170,-0.252,-47.241,-8.850,-45.776
-0.890,0.301,-0.172,-46.448,16.724,-4.150
-0.677,0.454,-0.220,-34.668,35.950,20.752
-0.518,0.584,-0.377,-17.639,39.612,30.334
-0.402,0.651,-0.543,-2.502,28.320,25.146
-0.378,0.647,-0.651,6.470,9.399,10.376
-0.420,0.562,-0.672,10.986,-9.338,-5.371
-0.500,0.499,-0.629,11.475,-23.499,-13.306
-0.548,0.486,-0.600,11.230,-24.902,-9.216
-0.514,0.503,-0.611,9.338,-12.085,6.042
-0.412,0.576,-0.634,4.150,8.728,26.794
-0.277,0.661,-0.676,-0.732,29.785,44.312
-0.154,0.753,-0.750,-3.235,42.175,53.162
-0.097,0.801,-0.799,-4.028,42.847,51.697
-0.093,0.800,-0.822,-4.089,33.508,39.124
-0.123,0.806,-0.794,-3.296,17.761,23.010
-0.164,0.783,-0.760,-1.648,2.502,10.681
-0.205,0.751,-0.711,-0.488,-7.080,2.258
