aX,aY,aZ,gX,gY,gZ
-0.548,1.265,-2.933,92.590,86.914,28.015
-0.437,1.028,-2.492,17.761,17.395,-2.808
-0.307,0.655,-1.903,-39.063,-38.208,-28.503
-0.186,0.329,-1.299,-79.834,-68.481,-45.654
-0.093,-0.012,-0.772,-96.252,-76.050,-54.688
0.020,-0.310,-0.443,-84.900,-69.092,-53.528
0.127,-0.530,-0.294,-57.190,-54.199,-45.471
0.193,-0.655,-0.301,-26.855,-35.828,-34.363
0.217,-0.685,-0.421,0.549,-15.808,-21.606
0.171,-0.613,-0.594,20.752,2.075,-8.911
0.096,-0.483,-0.779,34.119,16.235,0.977
0.015,-0.325,-0.961,40.527,26.306,8.728
-0.049,-0.132,-1.126,41.809,30.884,13.733
-0.074,0.016,-1.265,41.382,29.419,15.259
-0.069,0.143,-1.360,38.269,20.386,14.221
-0.029,0.241,-1.386,29.968,8.728,11.719
0.026,0.291,-1.336,18.677,-2.563,7.690
0.089,0.300,-1.239,6.897,-11.902,5.066
0.159,0.281,-1.140,-2.441,-17.578,3.174
0.240,0.233,-1.052,-9.094,-19.287,1.648
0.301,0.182,-0.972,-13.550,-18.982,0.305
0.335,0.133,-0.913,-14.893,-17.883,-2.258
0.355,0.087,-0.880,-12.634,-16.602,-5.615
0.365,0.037,-0.872,-8.057,-15.625,-8.545
0.368,-0.008,-0.873,-3.845,-13.855,-10.742
0.344,-0.038,-0.882,-0.916,-10.986,-11.230
0.300,-0.049,-0.893,1.465,-6.958,-10.681
0.261,-0.052,-0.926,4.639,-2.747,-8.728
0.220,-0.052,-0.969,7.019,0.671,-6.958
0.185,-0.030,-1.002,8.057,2.808,-5.920
0.153,-0.021,-1.034,9.644,3.174,-5.371
0.135,0.001,-1.056,9.827,3.235,-5.249
0.119,0.006,-1.066,9.155,3.052,-4.578
0.112,0.010,-1.067,7.629,2.319,-4.028
0.114,0.022,-1.059,5.249,1.404,-2.563
0.130,0.020,-1.045,3.906,0.183,-0.427
0.158,0.018,-1.025,1.953,-0.061,1.343
0.170,0.025,-1.008,0.610,-0.061,3.052
0.171,0.037,-1.005,0.610,0.000,3.723
0.156,0.057,-1.013,0.916,-0.061,3.357
0.144,0.072,-1.027,1.526,-0.671,2.747
0.148,0.069,-1.046,2.991,-1.526,2.136
0.157,0.072,-1.055,2.319,-2.991,1.282
0.164,0.060,-1.052,1.404,-4.272,0.061
0.172,0.046,-1.034,0.854,-5.005,-1.648
0.188,0.028,-1.008,0.793,-5.737,-3.052
0.194,0.012,-0.984,1.343,-5.615,-3.967
0.200,0.001,-0.968,3.052,-5.066,-4.211
0.195,0.001,-0.970,5.493,-4.211,-4.211
0.192,0.006,-0.987,7.568,-3.235,-3.845
0.184,0.016,-1.006,8.606,-2.014,-2.563
0.177,0.031,-1.026,8.545,-1.038,-0.977
0.168,0.041,-1.046,7.629,-0.427,0.244
0.166,0.060,-1.064,5.920,-1.038,0.610
0.173,0.062,-1.076,4.761,-2.502,0.671
0.184,0.065,-1.072,2.258,-4.028,-0.122
0.194,0.059,-1.054,0.183,-5.432,-1.465
0.197,0.054,-1.031,-1.465,-6.287,-3.296
0.205,0.040,-1.009,-1.831,-6.775,-4.700
0.219,0.025,-0.992,-1.404,-6.958,-5.737
0.229,0.010,-0.973,-0.854,-6.592,-6.531
0.232,0.000,-0.956,0.427,-6.104,-6.836
0.242,-0.007,-0.947,2.502,-5.493,-6.653
0.243,-0.007,-0.945,4.517,-4.639,-5.798
0.236,0.000,-0.955,6.165,-3.296,-4.944
0.226,0.014,-0.974,7.324,-1.526,-4.089
0.216,0.031,-0.999,8.057,-0.244,-2.869
0.209,0.042,-1.014,8.057,0.244,-1.587
0.205,0.053,-1.024,7.141,0.549,-0.488
0.208,0.059,-1.028,5.432,0.671,0.366
0.209,0.067,-1.030,4.272,0.488,0.793
0.214,0.072,-1.031,3.296,0.366,0.671
0.223,0.069,-1.029,2.197,-0.488,-0.122
0.228,0.062,-1.015,1.404,-1.282,-0.977
0.229,0.053,-0.999,0.977,-1.953,-2.014
0.224,0.045,-0.987,0.916,-1.587,-2.686
0.566,-0.736,1.360,49.683,-8.484,-18.005
0.554,-0.760,1.436,58.838,-4.700,-15.625
0.543,-0.783,1.507,69.092,1.770,-12.268
0.532,-0.801,1.566,82.581,11.780,-7.751
0.521,-0.799,1.594,98.694,23.865,-3.540
0.508,-0.794,1.587,115.784,35.889,0.488
0.495,-0.783,1.560,132.324,46.143,3.662
0.473,-0.768,1.521,148.315,53.223,6.409
0.449,-0.748,1.479,163.940,57.434,8.606
0.415,-0.714,1.440,177.856,60.730,10.254
0.360,-0.672,1.409,189.514,63.660,11.414
0.317,-0.654,1.370,200.684,67.627,13.306
0.280,-0.644,1.335,210.327,73.303,18.127
0.254,-0.633,1.312,216.553,80.139,26.245
0.243,-0.614,1.298,222.107,88.074,36.377
0.254,-0.598,1.293,228.333,95.093,46.143
0.257,-0.581,1.303,235.229,99.670,52.917
0.244,-0.545,1.320,242.432,104.187,57.434
0.223,-0.533,1.343,249.390,110.046,60.974
0.163,-0.483,1.371,257.080,119.141,64.148
0.098,-0.411,1.356,270.813,132.019,69.519
0.022,-0.322,1.306,289.062,146.667,75.867
-0.060,-0.221,1.218,307.190,161.072,82.336
-0.133,-0.127,1.109,322.937,174.927,90.027
-0.194,-0.049,1.008,330.750,188.843,98.938
-0.212,0.008,0.878,329.651,201.721,107.483
-0.105,-0.075,0.728,328.369,216.797,115.784
-0.130,-0.002,0.648,317.993,236.572,120.178
-0.194,0.039,0.620,306.274,254.395,118.896
-0.246,0.089,0.601,303.223,267.456,119.873
-0.260,0.152,0.535,307.922,272.644,120.239
-0.273,0.184,0.432,318.665,276.855,118.469
-0.255,0.198,0.281,333.984,282.288,118.286
-0.323,0.357,0.148,348.633,284.485,121.582
-0.422,0.569,-0.005,354.858,284.241,123.352
-0.553,0.730,-0.177,353.210,287.720,122.375
-0.699,0.932,-0.392,347.473,293.152,128.174
-0.848,1.181,-0.717,339.966,299.377,143.555
-1.064,1.470,-1.157,328.735,312.378,165.466
-1.393,1.862,-1.666,307.434,336.609,190.979
-1.753,2.296,-2.299,280.640,364.014,220.825
-1.950,2.636,-3.034,253.113,370.300,244.690
